price,bedrooms,bathrooms,sqm_living,sqm_lot,floors,waterfront,view,condition,grade,sqm_above,sqm_basement,zipcode,sqm_living15,sqm_lot15,house_age,renovated
221900,3,1,110,525,1,0,0,3,7,110,0,98178,125,525,2,0
538000,3,2,239,673,2,0,0,3,7,202,37,98125,157,710,3,1
180000,2,1,72,929,1,0,0,3,6,72,0,98028,253,749,4,0
604000,4,3,182,465,1,0,0,5,7,98,85,98136,126,465,2,0
510000,3,2,156,751,1,0,0,3,8,156,0,98074,167,697,1,0
1225000,4,4,504,9473,1,0,0,3,11,362,142,98053,442,9473,0,0
257500,3,2,159,634,2,0,0,3,7,159,0,98003,208,634,0,0
291850,3,1,99,903,1,0,0,3,7,99,0,98198,153,903,2,0
229500,3,1,165,694,1,0,0,3,7,98,68,98146,165,754,2,0
323000,3,2,176,610,2,0,0,3,7,176,0,98038,222,704,0,0
662500,3,2,331,910,1,0,0,3,8,173,158,98007,205,829,2,0
468000,2,1,108,558,1,0,0,4,7,80,28,98115,124,558,3,0
310000,3,1,133,1850,1,0,0,4,7,133,0,98028,165,1180,4,0
400000,3,1,127,900,1,0,0,4,7,127,0,98074,127,949,1,0
530000,5,2,168,451,1,0,0,3,7,168,0,98107,126,451,5,0
650000,4,3,274,465,2,0,3,3,9,184,90,98126,199,372,1,0
395000,3,2,176,1305,2,0,0,3,7,176,0,98019,176,1303,0,0
485000,4,1,149,400,1,0,0,4,7,149,0,98103,150,400,4,0
189000,2,1,112,915,1,0,0,4,7,112,0,98002,99,474,4,0
230000,3,1,116,908,1,0,0,4,7,116,0,98003,119,822,2,0
385000,4,1,151,463,1,0,0,4,7,80,71,98133,130,463,3,0
2000000,3,2,283,4170,1,0,4,3,9,217,67,98040,382,1890,2,0
285000,5,2,211,586,2,0,0,3,8,211,0,98092,208,651,0,0
252700,2,1,99,896,1,0,0,3,7,99,0,98030,113,779,1,0
329000,3,2,228,604,2,0,0,4,8,228,0,98030,204,638,1,0
233000,3,2,159,437,1,0,0,5,6,159,0,98002,96,437,3,0
937000,3,1,228,250,2,0,0,3,8,163,65,98119,164,332,4,0
667000,3,1,130,147,1,0,0,5,8,130,0,98112,173,359,5,0
438000,3,1,141,593,1,0,0,3,7,73,68,98115,141,579,3,0
719000,4,2,239,667,2,0,0,3,8,239,0,98052,244,560,0,0
580500,3,2,216,370,2,0,0,3,8,216,0,98027,240,370,0,0
280000,2,1,111,118,3,0,0,3,7,111,0,98133,129,163,0,0
687500,4,1,217,465,1,0,0,4,7,140,76,98117,136,465,4,0
535000,3,1,101,279,1,0,0,4,8,101,0,98117,146,472,4,0
322500,4,2,191,619,1,0,0,3,7,119,72,98058,188,810,1,0
696000,3,2,214,284,1,0,0,3,8,140,73,98115,148,303,4,1
550000,4,1,154,3239,1,0,0,1,5,86,68,98052,201,1066,4,0
640000,4,2,219,558,2,0,0,4,8,219,0,98107,161,437,5,0
240000,4,1,113,750,1,0,0,2,7,83,31,98001,120,725,2,0
605000,4,2,243,702,2,0,0,3,8,243,0,98056,243,1104,0,0
625000,4,2,239,513,2,0,0,3,9,239,0,98074,230,527,0,0
775000,4,2,392,2248,1,0,0,3,8,242,151,98166,224,2845,1,0
861990,5,2,334,524,2,0,0,3,9,334,0,98053,337,524,0,0
685000,3,1,146,212,2,0,0,3,7,146,0,98119,147,245,4,0
309000,3,1,119,897,1,0,0,4,6,86,33,98058,125,819,2,0
488000,3,2,294,1264,2,0,0,3,8,294,0,98019,283,858,0,0
210490,3,1,92,793,1,0,0,3,6,92,0,98023,114,822,2,0
785000,4,2,213,1247,2,0,0,4,9,213,0,98007,249,1272,1,0
450000,3,1,116,554,1,0,0,4,7,116,0,98115,90,474,3,0
1350000,3,2,256,6041,1,1,2,5,9,201,55,98070,249,6739,3,0
228000,3,1,111,855,1,0,0,3,7,111,0,98148,111,870,2,0
345000,5,2,293,849,1,0,0,4,8,152,140,98056,185,849,2,0
600000,3,1,131,379,1,0,0,4,7,93,38,98117,131,379,3,0
585000,2,1,184,795,1,0,0,3,7,92,92,98117,138,626,1,0
920000,5,2,254,558,1,0,0,3,8,198,56,98105,254,558,4,0
885000,4,2,263,465,2,0,0,3,9,263,0,98105,181,465,0,0
292500,4,2,209,418,2,0,0,3,7,209,0,98042,209,418,0,0
301000,3,2,225,441,2,0,0,3,8,225,0,98042,250,441,0,0
951000,5,3,302,1333,2,0,4,4,8,302,0,98008,275,1026,2,0
430000,4,3,172,927,2,0,0,3,8,172,0,98059,211,794,1,0
650000,3,2,200,1974,1,0,3,4,8,148,52,98166,239,1757,2,0
289000,3,1,117,781,1,0,0,3,7,117,0,98148,120,813,2,0
505000,3,1,234,808,2,0,0,5,8,234,0,98166,232,883,2,0
549000,3,1,143,97,3,0,0,3,8,143,0,98115,147,287,0,0
425000,3,2,154,558,1,0,0,3,7,103,51,98122,134,379,1,0
317625,3,2,257,354,1,0,0,5,7,164,93,98144,134,372,4,0
975000,4,2,253,1027,2,0,0,3,10,253,0,98004,256,1027,1,0
287000,4,2,208,432,2,0,0,3,7,208,0,98001,206,424,0,0
204000,3,1,93,1122,1,0,0,4,7,93,0,98042,94,1174,2,0
1325000,5,2,297,1873,1,0,0,3,8,149,149,98004,315,1873,2,0
1040000,5,3,443,4656,1,0,0,4,11,285,158,98005,328,3617,2,0
325000,3,2,117,522,1,0,0,4,7,117,0,98034,152,441,2,0
571000,4,2,256,726,1,0,0,5,7,209,46,98125,140,726,4,0
360000,4,2,221,465,2,0,0,3,8,221,0,98038,225,465,0,0
349000,3,1,166,4696,1,0,0,5,7,101,65,98042,180,4696,2,0
832500,4,4,319,3262,2,0,0,4,10,222,97,98075,301,3255,1,0
380000,4,1,164,678,1,0,0,3,7,82,82,98008,156,697,2,0
480000,3,1,97,470,1,0,0,3,7,97,0,98116,83,470,3,0
410000,3,1,131,470,1,0,0,4,7,85,46,98133,105,529,2,0
720000,4,2,321,3688,2,0,0,3,10,321,0,98010,311,3694,0,0
390000,3,2,218,474,2,0,0,3,8,218,0,98038,218,498,0,0
360000,4,2,177,547,2,0,0,3,7,177,0,98038,174,595,1,0
355000,2,1,188,625,1,0,0,3,7,94,94,98118,160,625,3,0
356000,3,1,156,810,1,0,0,3,8,156,0,98059,172,818,2,0
315000,3,1,89,617,1,0,0,3,6,89,0,98125,146,669,3,0
940000,3,1,199,335,2,0,0,3,9,177,22,98119,188,446,4,0
305000,5,2,247,781,1,0,0,5,7,247,0,98092,148,759,2,0
461000,3,3,257,583,2,0,0,3,9,184,73,98056,177,683,0,0
215000,2,2,150,190,2,0,0,4,7,150,0,98056,181,188,1,0
335000,2,1,96,99,2,0,0,3,7,71,25,98136,96,103,0,0
243500,4,2,184,688,2,0,0,3,7,184,0,98023,184,698,1,0
1099880,5,2,327,590,2,0,0,4,10,327,0,98199,234,581,0,0
153000,3,1,112,976,1,0,0,3,7,112,0,98023,125,976,2,0
700000,3,1,147,465,1,0,0,3,8,120,27,98117,146,418,3,0
905000,4,2,307,953,1,0,0,3,7,222,85,98040,181,562,3,1
247500,3,1,182,1457,1,0,0,3,7,182,0,98032,163,1451,2,0
199000,4,1,108,595,1,0,0,4,7,108,0,98023,108,595,1,0
314000,3,1,168,3885,1,0,0,5,7,112,56,98038,153,12550,1,0
437500,3,2,216,3424,2,0,2,3,9,216,0,98045,237,3259,1,0
850830,3,2,192,1231,1,0,0,5,9,118,74,98102,204,418,5,0
555000,3,2,184,323,1,0,0,4,7,134,50,98117,150,323,4,0
699950,3,2,204,9999,2,0,0,4,8,204,0,98077,239,4440,1,0
1088000,3,2,271,754,2,0,0,3,8,271,0,98004,220,754,3,1
290000,3,1,112,3152,1,0,0,3,7,112,0,98058,152,1386,2,0
375000,3,2,217,930,1,0,0,4,8,136,82,98058,209,759,1,0
460000,3,1,155,372,1,0,0,4,7,109,46,98117,115,372,3,0
188500,2,1,115,232,1,0,0,4,8,115,0,98198,118,462,1,0
680000,4,2,292,2606,2,0,0,4,10,292,0,98077,278,3253,1,0
470000,5,1,189,1147,2,0,0,4,7,189,0,98052,232,877,3,0
597750,4,2,215,894,2,0,0,3,8,215,0,98027,180,896,1,0
570000,3,1,117,309,1,0,0,5,6,65,52,98103,128,329,5,0
272500,3,1,143,1171,1,0,0,4,7,108,35,98038,143,1083,1,0
329950,3,1,193,555,1,0,2,3,7,100,93,98108,194,511,2,0
480000,4,2,300,1503,2,0,3,3,9,234,66,98001,245,792,0,0
740500,3,3,407,590,2,0,0,3,8,258,149,98117,170,590,5,1
518500,3,3,148,102,3,0,0,3,8,148,0,98103,151,294,0,0
205425,2,1,82,630,1,0,0,4,6,82,0,98178,111,630,3,0
171800,4,2,146,892,1,0,0,3,6,146,0,98168,175,836,3,0
535000,4,1,150,277,1,0,0,4,7,150,0,98144,150,375,4,0
660000,3,2,223,602,1,0,2,3,8,145,78,98177,217,1009,2,0
391500,3,2,135,849,1,0,0,3,7,135,0,98034,147,846,1,0
395000,2,1,72,558,1,0,0,3,6,72,0,98117,159,558,3,0
445000,4,1,195,409,1,0,0,5,7,160,35,98118,172,409,4,0
770000,3,2,270,948,2,0,0,3,9,270,0,98052,251,1300,1,0
1450000,4,2,256,1653,1,0,0,3,8,184,72,98004,284,1048,5,1
445000,3,2,195,762,1,0,2,3,8,151,45,98178,247,810,2,0
260000,4,2,201,819,1,0,0,3,8,126,74,98023,194,781,1,0
822500,5,3,216,461,2,0,0,5,7,160,56,98103,158,461,4,0
430000,4,2,192,401,2,0,0,3,7,192,0,98065,183,348,0,0
212000,3,1,99,732,1,0,0,4,7,99,0,98092,132,714,1,0
660500,4,2,187,892,1,0,0,3,8,134,53,98027,191,910,1,0
784000,3,3,367,10323,1,0,0,3,9,229,138,98052,230,8225,1,0
453246,3,2,187,213,2,0,0,3,8,129,58,98029,157,154,0,0
675000,4,3,199,212,3,0,0,3,9,199,0,98107,143,212,0,0
199000,3,1,123,1616,1,0,0,4,7,123,0,98003,144,1790,2,0
220000,4,1,188,729,1,0,0,3,7,94,94,98003,163,757,2,0
452000,4,2,241,930,1,0,0,4,8,125,116,98028,144,970,2,0
382500,2,1,111,413,1,0,0,3,6,111,0,98125,99,531,1,0
519950,3,2,109,116,3,0,0,3,8,109,0,98107,125,122,0,0
665000,2,1,103,297,1,0,0,3,7,103,0,98119,109,335,4,0
527700,5,2,262,871,1,0,0,4,8,144,118,98006,262,871,2,0
205000,3,1,150,797,1,0,0,4,7,94,56,98058,150,797,2,0
420000,3,1,99,753,1,0,0,4,7,87,11,98133,145,738,4,0
500000,4,2,189,792,1,0,0,4,8,128,60,98006,207,820,2,0
921500,4,2,341,29310,2,0,0,4,9,341,0,98077,264,8178,0,0
890000,4,1,237,372,2,0,0,3,8,220,17,98109,204,372,5,0
430000,2,2,225,5668,2,0,0,3,7,225,0,98027,180,18015,0,0
258000,5,2,210,1162,1,0,0,4,8,105,105,98032,126,1673,2,0
511000,3,1,133,321,1,0,0,3,7,91,42,98103,135,427,3,0
532170,3,2,126,287,2,0,0,3,8,126,0,98103,139,287,1,0
560000,3,1,103,465,1,0,0,3,7,103,0,98107,132,465,3,0
282950,3,1,116,762,1,0,0,4,7,116,0,98003,156,802,3,0
2250000,4,3,481,1845,2,0,3,3,12,329,152,98006,294,906,0,0
350000,1,1,65,474,1,0,0,3,7,65,0,98115,94,474,3,0
215000,3,1,110,713,1,0,0,4,7,110,0,98058,111,713,2,0
650000,5,3,368,2346,2,0,0,3,9,232,136,98056,245,1271,0,0
320000,4,2,245,697,1,0,0,3,8,151,95,98023,184,732,2,0
247000,3,2,118,669,1,0,0,3,7,118,0,98022,108,669,4,1
320000,4,1,164,1039,1,0,0,4,8,164,0,98059,161,1039,2,0
255000,5,2,191,802,1,0,0,3,7,96,96,98146,94,1086,2,0
438000,3,1,165,898,1,0,0,3,7,165,0,98034,112,898,2,0
900000,3,2,316,1543,2,0,0,3,10,316,0,98075,316,1171,0,0
441000,3,2,178,677,1,0,0,3,7,108,70,98034,159,758,1,0
420000,3,2,188,3562,1,0,0,4,7,94,94,98027,196,3401,1,0
370000,3,1,147,651,1,0,0,3,7,110,37,98034,152,697,1,0
269950,2,1,125,674,1,0,0,5,5,65,59,98198,170,906,3,0
807100,4,2,249,418,2,0,0,3,9,249,0,98006,271,418,0,0
653000,3,2,249,906,1,0,0,4,8,150,99,98034,230,813,1,0
371500,3,2,127,775,1,0,0,5,7,127,0,98133,164,677,2,0
284000,3,1,145,1952,1,0,0,3,7,145,0,98166,99,736,3,0
272000,3,1,201,664,1,0,0,4,7,155,46,98023,179,683,1,0
313000,3,1,125,735,1,0,0,3,7,125,0,98133,138,738,2,0
917500,4,2,361,3253,2,0,0,3,10,239,122,98033,348,3274,1,0
673000,4,2,241,761,2,0,0,4,8,241,0,98006,210,775,1,0
425000,3,2,104,102,2,0,0,3,8,76,28,98122,148,167,0,0
399950,5,2,183,502,1,0,0,3,7,123,60,98144,119,200,1,0
385000,3,1,113,446,1,0,0,3,6,113,0,98122,112,446,5,0
269950,3,1,181,703,1,0,2,4,7,123,59,98022,181,831,1,0
330000,2,1,125,764,1,0,0,3,7,99,27,98177,143,770,3,0
260000,3,2,155,539,2,0,0,3,7,155,0,98030,155,575,1,0
470000,4,3,221,476,1,0,0,4,7,156,65,98126,131,500,4,0
589000,4,3,227,892,2,0,0,5,7,227,0,98034,213,892,2,0
163500,2,1,98,318,2,0,0,3,7,98,0,98038,98,318,0,0
